attribute,lemma,count,surfaces
Profumo,lieve,132,"lieve, lievi"
Profumo,acido,130,"acido, acida, acidi"
Profumo,matura,120,"matura, mature, maturi, maturo"
Profumo,profumo,116,"profumo, profumi"
Profumo,stalla,114,stalla
Profumo,pane,108,pane
Profumo,positivo,108,"positivo, positivi"
Profumo,prima,102,"prima, primo, prime"
Profumo,tostatura,102,tostatura
Profumo,lessa,96,"lessa, lesse, lesso"
Profumo,forte,94,"forte, forti"
Profumo,nocciola,94,nocciola
Profumo,floreale,88,"floreale, floreali"
Profumo,legg,84,legg
Profumo,sciolto,82,sciolto
Profumo,debole,80,"debole, deboli"
Profumo,secco,80,"secca, secco"
Profumo,stantio,78,stantio
Profumo,negativo,76,"negativo, negativi"
Profumo,caramello,76,"caramello, caramella"
Profumo,delicato,76,delicato
Profumo,po,74,po
Profumo,carne,72,"carne, carna"
Profumo,caratteristico,70,caratteristico
Profumo,tipico,70,"tipico, tipici, tipica"
Profumo,equilibrato,68,equilibrato
Profumo,intensita',68,intensita'
Profumo,insilato,68,"insilato, insilati"
Profumo,nostrano,66,nostrano
Profumo,difetti,64,"difetti, difetto"
Profumo,florale,64,"florale, florali"
Profumo,alta,64,alta
Profumo,balsamico,64,balsamico
Profumo,apertura,62,apertura
Profumo,peccato,56,peccato
Profumo,cipolla,56,cipolla
Profumo,medio,56,medio
Profumo,po',56,po'
Profumo,marcio,54,marcio
Profumo,mela,52,mela
Profumo,prevalente,52,"prevalente, prevalenti"
Profumo,all,52,all
Profumo,kiwi,50,kiwi
Profumo,fermentazione,50,fermentazione
Profumo,ananas,50,ananas
Profumo,putrido,50,putrido
Profumo,iniziale,48,"iniziale, inizialmente"
Profumo,crudo,48,"crudo, crudi"
Profumo,crauti,46,crauti
Profumo,dominante,46,"dominante, dominanti"
Profumo,lattee,46,"lattee, lattea"
Profumo,bassa,44,bassa
Profumo,piacevole,44,"piacevole, piacevoli"
Profumo,altro,44,"altro, altri"
Profumo,yogurt,44,yogurt
Profumo,cacao,44,cacao
Profumo,caffè,44,caffè
Profumo,leg,42,leg
Profumo,olfazione,40,olfazione
Profumo,liquirizia,40,liquirizia
Profumo,difettoso,40,difettoso
Profumo,tropicale,40,tropicale
Profumo,percettibile,40,percettibile
Profumo,cuoio,40,cuoio
Profumo,particolare,38,"particolare, particolari, particolarmente"
Profumo,elegante,36,elegante
Profumo,mou,36,mou
Profumo,no,36,no
Profumo,sgradevole,36,sgradevole
Profumo,gradevole,36,gradevole
Profumo,decisi,36,"decisi, deciso, decisa, decismente"
Profumo,erbaceo,36,"erbaceo, erbacei, erbacea"
Profumo,all'inizio,34,all'inizio
Profumo,strano,34,"strano, strani"
Profumo,segue,34,segue
Profumo,presenti,34,"presenti, presente"
Profumo,alcool,32,alcool
Profumo,stagnante,32,stagnante
Profumo,chiuso,32,chiuso
Profumo,sporchi,32,"sporchi, sporche"
Profumo,mediae,32,mediamente
Profumo,pozzo,32,pozzo
Profumo,dolce,32,"dolce, dolci"
Profumo,evidente,32,"evidente, evidenti"
Profumo,stagionato,30,"stagionato, stagionati"
Profumo,intensit',30,intensit'
Profumo,porzione,30,"porzione, porzioni"
Profumo,comunque,28,comunque
Profumo,tanto,28,"tanto, tanta, tanti"
Profumo,vaniglia,28,vaniglia
Profumo,poca,28,poca
Profumo,fritto,28,fritto
Profumo,acqua,28,acqua
Profumo,resto,28,"resto, resta"
Profumo,caratteristiche,28,caratteristiche
Profumo,piatto,28,piatto
Profumo,scarico,28,scarico
Profumo,anomalo,26,anomalo
Profumo,sedano,26,sedano
Profumo,lettiera,26,lettiera
Profumo,tratti,26,tratti
Profumo,propionico,26,"propionico, propionica"
Profumo,polvere,24,polvere
Profumo,paglia,24,paglia
Profumo,gomma,24,gomma
Profumo,pochi,24,"pochi, poche"
Profumo,cavolfiore,24,cavolfiore
Profumo,lattei,24,"lattei, latteo"
Profumo,speziato,24,"speziato, speziati"
Profumo,base,24,base
Profumo,impercettibile,24,impercettibile
Profumo,oltre,24,oltre
Profumo,uht,24,uht
Profumo,rottura,24,rottura
Profumo,negative,24,"negative, negativa"
Profumo,vecchio,22,"vecchio, vecchia"
Profumo,sporco,22,"sporco, sporca"
Profumo,muffa,22,muffa
Profumo,puzza,22,puzza
Profumo,impatto,20,impatto
Profumo,ricorda,20,"ricorda, ricordo"
Profumo,sento,20,sento
Profumo,grasso,20,"grasso, grassi"
Profumo,pannoso,20,"pannoso, pannosi"
Profumo,voto,20,voto
Profumo,lievito,20,lievito
Profumo,leggerissimo,20,"leggerissimo, leggerissima"
Profumo,fiori,20,"fiori, fiore"
Profumo,fungo,20,fungo
Profumo,qualche,20,qualche
Profumo,tendente,20,"tendente, tendenti"
Profumo,teli,20,teli
Profumo,latticini,20,latticini
Profumo,intero,20,intero
Profumo,erba,20,erba
Profumo,passata,20,"passata, passato"
Profumo,fumo,20,fumo
Profumo,alcol,18,alcol
Profumo,pesca,18,"pesca, pesce"
Profumo,discreta,18,discreta
Profumo,emmental,18,emmental
Profumo,aroma,18,"aroma, aromi"
Profumo,ottimo,16,"ottimo, ottima, ottimi"
Profumo,sente,16,sente
Profumo,povero,16,povero
Profumo,sfumatura,16,sfumatura
Profumo,solvente,16,solvente
Profumo,diversi,16,"diversi, diverso"
Profumo,olfatto,16,olfatto
Profumo,ammoniaca,16,ammoniaca
Profumo,affumicato,16,affumicato
Profumo,pregi,16,pregi
Profumo,siero,16,siero
Profumo,bouquet,16,bouquet
Profumo,sensazioni,16,"sensazioni, sensazione"
Profumo,eucalipto,16,eucalipto
Profumo,yogurth,16,yogurth
Profumo,punte,16,"punte, punta"
Profumo,intensita,16,intensita
Profumo,letame,16,letame
Profumo,burroso,16,burroso
Profumo,tipo,14,tipo
Profumo,occasione,14,occasione
Profumo,fa,14,fa
Profumo,difettato,14,difettato
Profumo,confetteria,14,confetteria
Profumo,spezzando,14,spezzando
Sapore,piccante,1773,"piccante, piccanti"
Sapore,salato,1697,"salato, salata, salate, salati"
Sapore,amaro,1287,"amaro, amara, amare"
Sapore,dolce,1021,"dolce, dolci"
Sapore,umami,910,umami
Sapore,acido,863,"acido, acida, acide, acidi"
Sapore,equilibrato,764,"equilibrato, equilibrati, equilibrata, equilibrate"
Sapore,sapido,346,sapido
Sapore,nota,332,"nota, note"
Sapore,leggero,324,"leggero, leggera, leggere, leggeri"
Sapore,piccantezza,242,piccantezza
Sapore,sale,232,sale
Sapore,medio,218,medio
Sapore,po,204,po
Sapore,finale,188,"finale, finali"
Sapore,leg,186,leg
Sapore,legg,182,legg
Sapore,po',170,po'
Sapore,sapidit',162,sapidit'
Sapore,equilibrio,154,equilibrio
Sapore,pungente,146,pungente
